ind;site;date;phase;stipe_length;stipe_circ;primary_length;primary_width;holdfast;cluster;
291;Noordehoek;06/06/2017;After;143;11;10;4;Y;N;
292;Noordehoek;06/06/2017;After;125;7;27;4;Y;Y;
293;Noordehoek;06/06/2017;After;178;8;22;5;Y;Y;
294;Noordehoek;06/06/2017;After;620;15;17;5;N;N;
295;Noordehoek;06/06/2017;After;625;33;23;17;N;N;
296;Noordehoek;06/06/2017;After;114;11;17;6;Y;Y;
297;Noordehoek;06/06/2017;After;120;10;15;4;Y;Y;
298;Noordehoek;06/06/2017;After;122;12;16;4;Y;Y;
299;Noordehoek;06/06/2017;After;500;34;28;20;Y;N;
300;Noordehoek;06/06/2017;After;150;12;17;6;Y;N;
301;Noordehoek;06/06/2017;After;875;34;18;11;N;N;
302;Noordehoek;06/06/2017;After;120;10;11;5;Y;Y;
303;Noordehoek;06/06/2017;After;19;6;83;6;Y;Y;
304;Noordehoek;06/06/2017;After;124;10;12;5;Y;Y;
305;Noordehoek;06/06/2017;After;153;11;45;4;Y;N;
306;Noordehoek;06/06/2017;After;500;14;18;8;Y;N;
307;Noordehoek;06/06/2017;After;800;29;25;20;N;N;
308;Noordehoek;06/06/2017;After;840;24;26;22;N;N;
